epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.856,1.33288,1.57448,1.45845,0.82597,0.75679,0.79573,0.44451,1.31819,2.29337,1.56066,0.000654088,0.000654088,0.000654088
2,456.015,1.35451,1.27692,1.46723,0.67357,0.57263,0.64797,0.32738,1.54622,2.41634,1.74229,0.00125538,0.00125538,0.00125538
3,677.338,1.39455,1.25508,1.50703,0.48432,0.56704,0.49008,0.20057,1.9401,3.65723,2.09398,0.00179067,0.00179067,0.00179067
4,900.278,1.39759,1.23861,1.49581,0.73672,0.74833,0.74536,0.34676,1.60228,2.43207,1.7218,0.001703,0.001703,0.001703
5,1127.18,1.3672,1.16309,1.47884,0.75929,0.73185,0.78225,0.36173,1.59353,2.33933,1.71464,0.001604,0.001604,0.001604
6,1349.32,1.35828,1.12862,1.46363,0.82345,0.79777,0.85804,0.50552,1.31774,1.96043,1.5035,0.001505,0.001505,0.001505
7,1570.49,1.36734,1.09506,1.46262,0.85123,0.82361,0.88622,0.51606,1.31675,1.81257,1.51013,0.001406,0.001406,0.001406
8,1792.1,1.32676,1.06557,1.4306,0.85216,0.80617,0.88189,0.52611,1.30358,1.89808,1.4606,0.001307,0.001307,0.001307
9,2013.2,1.28399,1.00747,1.42539,0.81384,0.79243,0.86075,0.51786,1.31004,1.80927,1.47912,0.001208,0.001208,0.001208
10,2235.4,1.25782,0.98138,1.40466,0.86503,0.8294,0.90259,0.55785,1.23253,1.79388,1.41126,0.001109,0.001109,0.001109
11,2456.97,1.25215,0.96719,1.46447,0.87277,0.83519,0.88585,0.54028,1.25218,1.96733,1.4821,0.00101,0.00101,0.00101
12,2675.88,1.25332,0.87637,1.47016,0.90248,0.85739,0.92548,0.60002,1.15721,1.74762,1.35657,0.000911,0.000911,0.000911
13,2891.37,1.19807,0.85435,1.43232,0.88247,0.84677,0.92033,0.5692,1.20316,1.77196,1.41456,0.000812,0.000812,0.000812
14,3106.95,1.18776,0.79964,1.41624,0.89826,0.88488,0.94179,0.62428,1.12664,1.68507,1.33269,0.000713,0.000713,0.000713
15,3322.55,1.16127,0.74968,1.3826,0.90273,0.88062,0.94191,0.61968,1.11084,1.71629,1.31983,0.000614,0.000614,0.000614
16,3537.47,1.1448,0.73935,1.37848,0.91908,0.898,0.95106,0.64626,1.051,1.77155,1.26574,0.000515,0.000515,0.000515
17,3752.56,1.1123,0.71075,1.35998,0.91644,0.89406,0.95379,0.63771,1.10355,1.50296,1.30256,0.000416,0.000416,0.000416
18,3968.32,1.09501,0.67676,1.34731,0.90429,0.90735,0.9536,0.64802,1.04241,1.6926,1.25495,0.000317,0.000317,0.000317
19,4184.13,1.08223,0.66905,1.32793,0.92751,0.90913,0.96148,0.67199,0.99893,1.64345,1.22873,0.000218,0.000218,0.000218
20,4400.77,1.0473,0.64486,1.30702,0.92414,0.91167,0.96311,0.68116,0.97428,1.63874,1.21111,0.000119,0.000119,0.000119
